Región,Precip. media (mm),Precip. mediana (mm),Anom. media (%),Anom. p10 (%),Anom. p90 (%),% área anom>0,% área >+30%,% área <−30%
Colombia,176.23345743479658,165.89591571503905,-7.0456207570720295,-38.984038489155715,24.927404111102305,37.5,6.9,19.5
Caribe,41.90703373026883,37.0077247979339,-11.495837923181897,-49.072723503051144,33.00328141694952,30.9,11.4,30.5
Andina,153.65822568099583,142.98538065903827,-0.2939293809445501,-37.479745125478864,36.45967809887622,49.1,14.1,17.7
Pacifica,213.5840686708601,195.09951635552176,-20.464634769087642,-46.42593002246269,8.488363342652846,17.1,2.5,35.5
Orinoquia,122.26621616637038,123.0593336613418,4.368664293291053,-24.49599330165845,30.506247044909916,58.8,10.5,6.0
Amazonia,256.39518522918837,254.90536345145318,-12.296912328071954,-38.7404421279822,11.753519476810283,26.4,0.5,20.5
