Región,Precip. media (mm),Precip. mediana (mm),Anom. media (%),Anom. p10 (%),Anom. p90 (%),% área anom>0,% área >+30%,% área <−30%
Colombia,265.6590953200391,285.9725555200395,-5.954410308107461,-31.00315913836571,24.98573138045502,32.6,7.6,10.7
Caribe,104.18862841802408,91.03375239546101,-19.896647620946748,-46.98339292235528,9.011115890900763,15.4,3.9,35.5
Andina,211.13022407187663,199.1673890424356,-8.58335296691861,-33.76329285519311,20.15658601498843,30.0,5.9,15.2
Pacifica,277.4852317209629,266.25435885747316,-21.68916839767942,-39.785713281705924,-2.7301884539151917,7.6,0.0,28.1
Orinoquia,312.1181174954662,310.047823250679,16.428441269342734,-8.74596784281083,41.665730422074844,79.3,23.8,0.3
Amazonia,316.4754953254213,315.0179396453367,-9.103019890452973,-22.267896886241083,7.745743662836247,18.0,1.7,1.1
