variable,year,month,region,value,date,clim,anomaly,anomaly_pct,rolling_12
precip,1991,1,Amazonia,95.2604270665815,1991-01-01,168.78791583584416,-73.52748876926266,-43.56205739323917,
precip,1991,2,Amazonia,208.1663184905497,1991-02-01,188.11314122858911,20.0531772619606,10.66016820036651,
precip,1991,3,Amazonia,257.4242353481204,1991-03-01,293.5934068392419,-36.16917149112146,-12.319476748647158,
precip,1991,4,Amazonia,361.0401371665134,1991-04-01,351.4130242896355,9.627112876877902,2.739543560270325,
precip,1991,5,Amazonia,391.4356342969054,1991-05-01,389.22685040730715,2.2087838895982372,0.5674798352906155,
precip,1991,6,Amazonia,386.829831999855,1991-06-01,360.2172163882724,26.612615611582612,7.387935501366291,
precip,1991,7,Amazonia,357.2497779687441,1991-07-01,340.42911418885626,16.820663779887866,4.941017991356769,
precip,1991,8,Amazonia,227.8120608799235,1991-08-01,280.7579006746239,-52.94583979470039,-18.85818339127005,
precip,1991,9,Amazonia,213.55013107448326,1991-09-01,242.48506971261082,-28.934938638127562,-11.932668131865091,
precip,1991,10,Amazonia,222.9015400056188,1991-10-01,252.78417985020735,-29.88263984458854,-11.821404275495457,
precip,1991,11,Amazonia,256.4282720848153,1991-11-01,242.8176642637057,13.610607821109625,5.605279114425623,
precip,1991,12,Amazonia,132.36796647472224,1991-12-01,211.16751092177583,-78.79954444705359,-37.316130735775836,-8.659041372768053
precip,1992,1,Amazonia,105.02303301917529,1992-01-01,168.78791583584416,-63.76488281666887,-37.7781089960752,-8.177045673004388
precip,1992,2,Amazonia,183.53814654190649,1992-02-01,188.11314122858911,-4.574994686682629,-2.4320441712911705,-9.268063370642528
precip,1992,3,Amazonia,276.9939268012636,1992-03-01,293.5934068392419,-16.599480037978253,-5.653900820418409,-8.712598709956799
precip,1992,4,Amazonia,335.1064009024283,1992-04-01,351.4130242896355,-16.306623387207196,-4.6403013719170625,-9.32758578763908
precip,1992,5,Amazonia,324.53683545306683,1992-05-01,389.22685040730715,-64.69001495424033,-16.620131649845156,-10.759886744733729
precip,1992,6,Amazonia,345.01832792259665,1992-06-01,360.2172163882724,-15.198888465675736,-4.219367585499605,-11.727162001972554
precip,1992,7,Amazonia,313.7855688178312,1992-07-01,340.42911418885626,-26.643545371025084,-7.826459095459246,-12.791118425873888
precip,1992,8,Amazonia,297.38755388752173,1992-08-01,280.7579006746239,16.629653212897836,5.9231292059596505,-10.726009042771414
precip,1992,9,Amazonia,260.54240507926113,1992-09-01,242.48506971261082,18.057335366650307,7.446782347487025,-9.111054836158736
precip,1992,10,Amazonia,226.0336694227924,1992-10-01,252.78417985020735,-26.75051042741495,-10.582351491800846,-9.007800437517519
precip,1992,11,Amazonia,278.04163704480607,1992-11-01,242.8176642637057,35.22397278110037,14.50634692822278,-8.266044786367758
precip,1992,12,Amazonia,243.52186920978795,1992-12-01,211.16751092177583,32.35435828801212,15.321655375289886,-3.8795626104456127
precip,1993,1,Amazonia,219.93539019368097,1993-01-01,168.78791583584416,51.14747435783681,30.30280580487802,1.7938469563004886
precip,1993,2,Amazonia,193.75208597273797,1993-02-01,188.11314122858911,5.6389447441488585,2.99763467204909,2.2463201932455106
precip,1993,3,Amazonia,359.36205685550266,1993-03-01,293.5934068392419,65.76865001626078,22.40126940325763,4.5842510452185135
precip,1993,4,Amazonia,409.6104005380931,1993-04-01,351.4130242896355,58.1973762484576,16.56096166785531,6.351022965199545
precip,1993,5,Amazonia,358.75498367570265,1993-05-01,389.22685040730715,-30.471866731604507,-7.828819286161057,7.083632328839887
precip,1993,6,Amazonia,344.4829490106924,1993-06-01,360.2172163882724,-15.73426737758001,-4.367994271717512,7.071246771655061
precip,1993,7,Amazonia,337.0202139101585,1993-07-01,340.42911418885626,-3.408900278697786,-1.0013539196905075,7.640005536302456
precip,1993,8,Amazonia,277.70953969021593,1993-08-01,280.7579006746239,-3.0483609844079638,-1.0857614254427597,7.0559313170189215
precip,1993,9,Amazonia,282.63849628665076,1993-09-01,242.48506971261082,40.15342657403994,16.559133567121926,7.815293918655162
precip,1993,10,Amazonia,294.61024329178673,1993-10-01,252.78417985020735,41.82606344157938,16.54615548582364,10.076002833457204
precip,1993,11,Amazonia,271.3065369370731,1993-11-01,242.8176642637057,28.488872673367382,11.732619519158128,9.844858882701816
precip,1993,12,Amazonia,201.52335479319675,1993-12-01,211.16751092177583,-9.644156128579084,-4.567064358755279,8.187465571531385
