variable,year,region,value,clim,anomaly
tmean,1991,Caribe,25.649764391116502,25.960166046773757,-0.3104016556572553
tmean,1991,Andina,19.10811717416708,19.501129593757398,-0.39301241959031685
tmean,1991,Pacifica,21.160509685085145,21.399652218618144,-0.2391425335329984
tmean,1991,Orinoquia,24.36717103983375,25.099789375818926,-0.7326183359851761
tmean,1991,Amazonia,24.363503036907968,24.668468378756078,-0.30496534184810997
tmean,1991,Colombia,23.129626434689328,23.542525731454077,-0.4128992967647491
tmean,1992,Caribe,26.136224923661306,25.960166046773757,0.17605887688754862
tmean,1992,Andina,19.81861814432255,19.501129593757398,0.3174885505651517
tmean,1992,Pacifica,21.652394602112985,21.399652218618144,0.2527423834948408
tmean,1992,Orinoquia,25.281346150418756,25.099789375818926,0.1815567745998301
tmean,1992,Amazonia,24.971047330914516,24.668468378756078,0.3025789521584379
tmean,1992,Colombia,23.800785683784735,23.542525731454077,0.2582599523306577
tmean,1993,Caribe,25.216402324199095,25.960166046773757,-0.7437637225746627
tmean,1993,Andina,19.141649735578202,19.501129593757398,-0.3594798581791956
tmean,1993,Pacifica,21.305655505644737,21.399652218618144,-0.09399671297340717
tmean,1993,Orinoquia,24.600198903917533,25.099789375818926,-0.49959047190139216
tmean,1993,Amazonia,24.268304526174315,24.668468378756078,-0.40016385258176257
tmean,1993,Colombia,23.122444717327237,23.542525731454077,-0.42008101412683985
tmean,1994,Caribe,25.18805722089249,25.960166046773757,-0.7721088258812685
tmean,1994,Andina,18.859378135809063,19.501129593757398,-0.6417514579483345
tmean,1994,Pacifica,20.915727443379282,21.399652218618144,-0.48392477523886157
tmean,1994,Orinoquia,24.474776876573852,25.099789375818926,-0.6250124992450736
tmean,1994,Amazonia,24.10851374231066,24.668468378756078,-0.5599546364454184
tmean,1994,Colombia,22.93614254774524,23.542525731454077,-0.6063831837088358
tmean,1995,Caribe,26.14599187900807,25.960166046773757,0.18582583223431115
tmean,1995,Andina,19.666431721370834,19.501129593757398,0.16530212761343677
tmean,1995,Pacifica,21.288281267944452,21.399652218618144,-0.11137095067369174
tmean,1995,Orinoquia,25.706880520190786,25.099789375818926,0.6070911443718607
tmean,1995,Amazonia,24.796414204211807,24.668468378756078,0.12794582545572908
tmean,1995,Colombia,23.76714054213493,23.542525731454077,0.2246148106808512
tmean,1996,Caribe,25.652545832764496,25.960166046773757,-0.30762021400926187
tmean,1996,Andina,19.192319980191098,19.501129593757398,-0.3088096135663001
tmean,1996,Pacifica,20.996323309841653,21.399652218618144,-0.40332890877649064
tmean,1996,Orinoquia,25.55134700792465,25.099789375818926,0.4515576321057253
tmean,1996,Amazonia,24.709493277162466,24.668468378756078,0.04102489840638768
tmean,1996,Colombia,23.520515289663187,23.542525731454077,-0.022010441790889956
tmean,1997,Caribe,25.97595354370588,25.960166046773757,0.015787496932123446
tmean,1997,Andina,19.415141913249993,19.501129593757398,-0.08598768050740446
tmean,1997,Pacifica,21.30342644582471,21.399652218618144,-0.09622577279343503
tmean,1997,Orinoquia,25.033838930918705,25.099789375818926,-0.06595044490022062
tmean,1997,Amazonia,24.411627509582704,24.668468378756078,-0.2568408691733737
tmean,1997,Colombia,23.410874565975593,23.542525731454077,-0.131651165478484
tmean,1998,Caribe,26.53509831773743,25.960166046773757,0.5749322709636715
tmean,1998,Andina,20.43632325894149,19.501129593757398,0.9351936651840909
tmean,1998,Pacifica,22.400623067373093,21.399652218618144,1.0009708487549496
tmean,1998,Orinoquia,25.51743516737804,25.099789375818926,0.41764579155911363
tmean,1998,Amazonia,25.32290526845885,24.668468378756078,0.6544368897027724
tmean,1998,Colombia,24.22701845005012,23.542525731454077,0.6844927185960437
tmean,1999,Caribe,25.412284078116702,25.960166046773757,-0.5478819686570553
tmean,1999,Andina,18.919968383168356,19.501129593757398,-0.5811612105890411
tmean,1999,Pacifica,20.836354827408364,21.399652218618144,-0.5632973912097796
tmean,1999,Orinoquia,23.879801934383984,25.099789375818926,-1.2199874414349416
tmean,1999,Amazonia,23.55355648623323,24.668468378756078,-1.1149118925228478
tmean,1999,Colombia,22.63250240231186,23.542525731454077,-0.9100233291422164
tmean,2000,Caribe,25.588630049051904,25.960166046773757,-0.3715359977218533
tmean,2000,Andina,18.875986511748827,19.501129593757398,-0.6251430820085702
tmean,2000,Pacifica,20.715968759550353,21.399652218618144,-0.6836834590677903
tmean,2000,Orinoquia,24.46974577592075,25.099789375818926,-0.6300435998981762
tmean,2000,Amazonia,23.842695912535074,24.668468378756078,-0.8257724662210038
tmean,2000,Colombia,22.86732151900146,23.542525731454077,-0.6752042124526163
tmean,2001,Caribe,25.916736796597668,25.960166046773757,-0.04342925017608934
tmean,2001,Andina,19.577397848773337,19.501129593757398,0.0762682550159397
tmean,2001,Pacifica,21.268330983225137,21.399652218618144,-0.13132123539300622
tmean,2001,Orinoquia,25.175673488711904,25.099789375818926,0.0758841128929788
tmean,2001,Amazonia,24.544239282215564,24.668468378756078,-0.12422909654051395
tmean,2001,Colombia,23.511407674243657,23.542525731454077,-0.031118057210420602
tmean,2002,Caribe,25.700976258107026,25.960166046773757,-0.25918978866673115
tmean,2002,Andina,19.10780206994507,19.501129593757398,-0.39332752381232794
tmean,2002,Pacifica,21.26174485706463,21.399652218618144,-0.1379073615535127
tmean,2002,Orinoquia,24.4550963729002,25.099789375818926,-0.644693002918725
tmean,2002,Amazonia,24.417202658688492,24.668468378756078,-0.2512657200675861
tmean,2002,Colombia,23.18544823123927,23.542525731454077,-0.3570775002148068
tmean,2003,Caribe,25.863624344572212,25.960166046773757,-0.09654170220154512
tmean,2003,Andina,19.56528808600667,19.501129593757398,0.06415849224927328
tmean,2003,Pacifica,21.412491625565167,21.399652218618144,0.012839406947023235
tmean,2003,Orinoquia,25.025206279727882,25.099789375818926,-0.07458309609104319
tmean,2003,Amazonia,24.439466009639094,24.668468378756078,-0.22900236911698357
tmean,2003,Colombia,23.447442427764962,23.542525731454077,-0.09508330368911544
tmean,2004,Caribe,25.705304193954728,25.960166046773757,-0.2548618528190296
tmean,2004,Andina,19.512688563056535,19.501129593757398,0.0115589692991378
tmean,2004,Pacifica,21.371718268268392,21.399652218618144,-0.02793395034975177
tmean,2004,Orinoquia,25.115199883171048,25.099789375818926,0.015410507352122238
