Variable,Región,T mes (°C),Anomalía media (°C),Anom. p10 (°C),Anom. p50 (°C),Anom. p90 (°C),% área anom>0,% área >+1°C,% área <−1°C
T media,Colombia,24.790878748204783,0.7328048083407379,-0.6116759623592568,0.9841235189786889,1.6096888787048833,76.1,48.7,3.4
T media,Caribe,26.04962805331684,-0.4773199956421127,-1.1350962695466007,-0.5862080382737609,0.3837654148033566,19.8,0.3,16.9
T media,Andina,19.531388339600753,-0.18212133342077425,-0.8916384610256668,-0.14156770481165742,0.5462331316488439,39.0,1.4,7.1
T media,Pacifica,22.07787829268369,0.6009273787155951,-0.04724043402965979,0.6689163139851896,1.140609317514619,83.4,20.6,0.1
T media,Orinoquia,27.749298216079477,1.4531850287794896,0.7882307514576479,1.5397126472050102,1.9450817374573652,96.9,87.9,0.1
T media,Amazonia,26.235144866160596,1.201560040176391,0.9547420990484555,1.203145787313854,1.5141528722166349,99.7,75.1,0.0
Tmax,Colombia,29.095053992809017,0.7708852778772689,-1.14234353687876,1.2971532939308474,1.9221327814968443,72.9,58.6,11.2
Tmax,Caribe,30.043658712746122,-1.127544665768312,-2.1729663356657953,-1.2017232087431051,0.07610388826094934,11.0,0.2,55.4
Tmax,Andina,23.657017003858314,-0.4962209525092072,-1.6136439552443937,-0.4169037085873349,0.5427201902623903,28.4,3.0,24.2
Tmax,Pacifica,25.744227980795326,0.7930665187490901,-0.08561410664658571,0.8194755361132664,1.6626651197864333,82.8,38.1,0.0
Tmax,Orinoquia,32.29552737213623,1.5895277977941757,0.8488744920300029,1.7263068719157435,2.1012684264273873,96.7,88.5,0.1
Tmax,Amazonia,30.77787493496365,1.542513537934525,1.1956900784845645,1.5708619673721052,1.9147061526722076,99.7,96.5,0.0
Tmin,Colombia,21.678860357503464,0.5977500035633161,-0.26577214639714875,0.6716919230416235,1.2975122647224955,80.9,21.4,0.4
Tmin,Caribe,23.06958346207896,-0.12135282782275869,-0.5707400757313343,-0.2266474832230526,0.5685037914628667,30.3,0.7,1.1
Tmin,Andina,16.539240809972725,0.11914673298167379,-0.4139478539119018,0.13362230529438843,0.663814961558964,61.5,2.5,1.4
Tmin,Pacifica,19.587684290917117,0.35212658686835663,-0.2405400044040199,0.4304184135501426,0.8185504235609213,75.4,2.5,0.1
Tmin,Orinoquia,23.985164931201503,1.170947023249104,0.6962200022657036,1.1805202051065364,1.7099353350801938,97.9,65.7,0.0
Tmin,Amazonia,23.241583438529457,0.7988281828462478,0.5709887313502121,0.7587606252481806,1.1010431341877844,99.6,16.6,0.0
