variable,year,region,value,clim,anomaly,anomaly_pct
precip,1991,Caribe,45.09235654249297,48.95335506963615,-3.860998527143181,-7.887096853016326
precip,1991,Andina,156.50566293113334,156.31373844281748,0.19192448831586262,0.1227815867164307
precip,1991,Pacifica,289.49432302322157,283.5813671487462,5.912955874475358,2.0851002778944396
precip,1991,Orinoquia,117.11467285636314,123.72017423186884,-6.605501375505696,-5.339065691199292
precip,1991,Amazonia,257.4242353481204,293.5934068392419,-36.16917149112146,-12.319476748647158
precip,1991,Colombia,184.94076231592533,198.84288248739327,-13.902120171467942,-6.991510079496733
precip,1992,Caribe,14.953854495707498,48.95335506963615,-33.99950057392866,-69.45285062804044
precip,1992,Andina,82.61410373891,156.31373844281748,-73.69963470390748,-47.14853309638436
precip,1992,Pacifica,204.17856621592594,283.5813671487462,-79.40280093282027,-28.000006393639865
precip,1992,Orinoquia,81.65702698230908,123.72017423186884,-42.06314724955976,-33.99861624081419
precip,1992,Amazonia,276.9939268012636,293.5934068392419,-16.599480037978253,-5.653900820418409
precip,1992,Colombia,156.27232578943455,198.84288248739327,-42.57055669795872,-21.409142819410555
precip,1993,Caribe,71.53515444636726,48.95335506963615,22.581799376731105,46.129216975237945
precip,1993,Andina,180.98534543695297,156.31373844281748,24.671606994135487,15.78339002055205
precip,1993,Pacifica,314.8573157018716,283.5813671487462,31.275948553125374,11.028915216675813
precip,1993,Orinoquia,184.7466704309487,123.72017423186884,61.02649619907987,49.32622878844942
precip,1993,Amazonia,359.36205685550266,293.5934068392419,65.76865001626078,22.40126940325763
precip,1993,Colombia,246.58094035785984,198.84288248739327,47.73805787046658,24.00792891015005
precip,1994,Caribe,61.46245152283449,48.95335506963615,12.509096453198339,25.553093215785
precip,1994,Andina,184.7281079765764,156.31373844281748,28.41436953375893,18.17778131136787
precip,1994,Pacifica,317.94888409639526,283.5813671487462,34.36751694764905,12.119102638228817
precip,1994,Orinoquia,166.3416184826571,123.72017423186884,42.62144425078827,34.44987409321761
precip,1994,Amazonia,302.90263850275886,293.5934068392419,9.309231663516982,3.1707904355680188
precip,1994,Colombia,222.56234675095112,198.84288248739327,23.719464263557853,11.92874694172756
precip,1995,Caribe,35.45817481023422,48.95335506963615,-13.495180259401934,-27.56742666606822
precip,1995,Andina,153.82460963706038,156.31373844281748,-2.4891288057571046,-1.5923928571816963
precip,1995,Pacifica,217.3578049504167,283.5813671487462,-66.22356219832952,-23.352578790408838
precip,1995,Orinoquia,115.50591905140243,123.72017423186884,-8.21425518046641,-6.6393821633905485
precip,1995,Amazonia,285.0848309868598,293.5934068392419,-8.50857585238208,-2.8980813785920545
precip,1995,Colombia,184.46488811927537,198.84288248739327,-14.377994368117896,-7.2308317945599425
precip,1996,Caribe,66.07092572797588,48.95335506963615,17.117570658339723,34.96710416270749
precip,1996,Andina,174.33287363499457,156.31373844281748,18.01913519217709,11.527544137631146
precip,1996,Pacifica,308.59772269078854,283.5813671487462,25.016355542042334,8.821579426592075
precip,1996,Orinoquia,91.54572412095466,123.72017423186884,-32.17445011091418,-26.00582347274647
