Región,Valor,Anomalía_mm,Anomalía_%,Rank,Percentil,Récord,Frase
Colombia,176.23345743479658,-22.60942505259669,-11.370497535424805,31/36,p17,262 mm (2012),Posición 31 de 36 (más lluvioso)
Caribe,41.90703373026883,-7.046321339367324,-14.393949769824625,22/36,p42,96 mm (2021),Posición 22 de 36 (más lluvioso)
Andina,153.65822568099583,-2.6555127618216545,-1.6988351684731098,23/36,p39,259 mm (2017),Posición 23 de 36 (más lluvioso)
Pacifica,213.5840686708601,-69.99729847788612,-24.683320763162346,32/36,p14,456 mm (2025),Posición 32 de 36 (más lluvioso)
Orinoquia,122.26621616637038,-1.4539580654984547,-1.175198850571884,17/36,p56,211 mm (2012),Posición 17 de 36 (más lluvioso)
Amazonia,256.39518522918837,-37.19822161005351,-12.669978529327643,32/36,p14,382 mm (2012),Posición 32 de 36 (más lluvioso)
