variable,year,month,region,value,date,clim,anomaly,rolling_12
tmax_mean,1991,1,Amazonia,30.334800597011164,1991-01-01,29.602677572630366,0.7321230243807975,
tmax_mean,1991,2,Amazonia,29.873927241703402,1991-02-01,29.682604781023183,0.19132246068021885,
tmax_mean,1991,3,Amazonia,29.261557502171833,1991-03-01,29.235361397029138,0.026196105142695103,
tmax_mean,1991,4,Amazonia,27.98818559585918,1991-04-01,28.620637297298824,-0.6324517014396456,
tmax_mean,1991,5,Amazonia,27.838734697366593,1991-05-01,27.959824008297936,-0.12108931093134245,
tmax_mean,1991,6,Amazonia,27.031863856313286,1991-06-01,27.25495311223691,-0.22308925592362527,
tmax_mean,1991,7,Amazonia,26.42501475556694,1991-07-01,27.161807131231647,-0.7367923756647059,
tmax_mean,1991,8,Amazonia,27.313411711803926,1991-08-01,28.154010203096036,-0.8405984912921092,
tmax_mean,1991,9,Amazonia,28.20153312623057,1991-09-01,28.986233613194692,-0.7847004869641232,
tmax_mean,1991,10,Amazonia,28.443376263335697,1991-10-01,29.209709816093255,-0.7663335527575583,
tmax_mean,1991,11,Amazonia,28.548298039015744,1991-11-01,28.95903877427365,-0.41074073525790666,
tmax_mean,1991,12,Amazonia,29.22020589462244,1991-12-01,28.972249361142097,0.24795653348034108,-0.276516482212247
tmax_mean,1992,1,Amazonia,30.31442292021439,1992-01-01,29.602677572630366,0.7117453475840243,-0.27821462194531144
tmax_mean,1992,2,Amazonia,30.84167782962528,1992-02-01,29.682604781023183,1.159073048602096,-0.19756873961848834
tmax_mean,1992,3,Amazonia,29.315268383388208,1992-03-01,29.235361397029138,0.07990698635907023,-0.19309283285045709
tmax_mean,1992,4,Amazonia,28.907802872237948,1992-04-01,28.620637297298824,0.28716557493912376,-0.11645805981889297
tmax_mean,1992,5,Amazonia,29.036752774649138,1992-05-01,27.959824008297936,1.0769287663512017,-0.016623220045347626
tmax_mean,1992,6,Amazonia,27.779751235819738,1992-06-01,27.25495311223691,0.5247981235828263,0.04570072824685667
tmax_mean,1992,7,Amazonia,26.05442372408492,1992-07-01,27.161807131231647,-1.1073834071467274,0.014818142290021541
tmax_mean,1992,8,Amazonia,27.37085771029803,1992-08-01,28.154010203096036,-0.7831524927980063,0.019605308831196783
tmax_mean,1992,9,Amazonia,27.977190217753996,1992-09-01,28.986233613194692,-1.0090433954406954,0.0009100664581490984
tmax_mean,1992,10,Amazonia,28.971166999508164,1992-10-01,29.209709816093255,-0.2385428165850918,0.044892627805854644
tmax_mean,1992,11,Amazonia,28.32907975217668,1992-11-01,28.95903877427365,-0.6299590220969726,0.02662443723593248
tmax_mean,1992,12,Amazonia,28.51190239301666,1992-12-01,28.972249361142097,-0.46034696812543885,-0.032400854564549185
tmax_mean,1993,1,Amazonia,28.625682598674977,1993-01-01,29.602677572630366,-0.9769949739553887,-0.1731292146928336
tmax_mean,1993,2,Amazonia,28.800022586489664,1993-02-01,29.682604781023183,-0.8825821945335193,-0.3432671516208015
tmax_mean,1993,3,Amazonia,27.809742554824613,1993-03-01,29.235361397029138,-1.4256188422045248,-0.46872763733443445
tmax_mean,1993,4,Amazonia,27.938044166770176,1993-04-01,28.620637297298824,-0.6825931305286481,-0.5495408627900821
tmax_mean,1993,5,Amazonia,28.419754299914864,1993-05-01,27.959824008297936,0.4599302916169279,-0.6009574023512716
tmax_mean,1993,6,Amazonia,27.139506991087163,1993-06-01,27.25495311223691,-0.11544612114974839,-0.6543110894123195
tmax_mean,1993,7,Amazonia,27.22206317211572,1993-07-01,27.161807131231647,0.06025604088407377,-0.5570078020764194
tmax_mean,1993,8,Amazonia,27.447718115546603,1993-08-01,28.154010203096036,-0.7062920875494321,-0.5506027683057049
tmax_mean,1993,9,Amazonia,28.217404996622292,1993-09-01,28.986233613194692,-0.7688286165723994,-0.5305848700666802
tmax_mean,1993,10,Amazonia,28.499842471904316,1993-10-01,29.209709816093255,-0.7098673441889396,-0.5698619140336675
tmax_mean,1993,11,Amazonia,28.20384816149118,1993-11-01,28.95903877427365,-0.7551906127824708,-0.5802978799241257
tmax_mean,1993,12,Amazonia,29.231430954031094,1993-12-01,28.972249361142097,0.25918159288899645,-0.520337166506256
tmax_mean,1994,1,Amazonia,30.009878090373167,1994-01-01,29.602677572630366,0.4072005177428011,-0.4049875421980736
tmax_mean,1994,2,Amazonia,28.377037917895695,1994-02-01,29.682604781023183,-1.3055668631274884,-0.44023626458090437
tmax_mean,1994,3,Amazonia,28.462719864831968,1994-03-01,29.235361397029138,-0.77264153219717,-0.38582148874695815
tmax_mean,1994,4,Amazonia,27.805723989248833,1994-04-01,28.620637297298824,-0.8149133080499915,-0.3968481702070701
tmax_mean,1994,5,Amazonia,27.845083741705654,1994-05-01,27.959824008297936,-0.11474026659228187,-0.4447373833911709
tmax_mean,1994,6,Amazonia,26.63252321684796,1994-06-01,27.25495311223691,-0.6224298953889509,-0.4869860312444378
tmax_mean,1994,7,Amazonia,26.352406608199082,1994-07-01,27.161807131231647,-0.8094005230325649,-0.5594574115708243
tmax_mean,1994,8,Amazonia,27.627619108405444,1994-08-01,28.154010203096036,-0.5263910946905916,-0.544465662165921
tmax_mean,1994,9,Amazonia,28.251005606517165,1994-09-01,28.986233613194692,-0.7352280066775272,-0.5416656113413483
