Variable,Región,Valor,Anomalía,Rank,Percentil,Récord,Frase
T media,Colombia,23.979490740776907,0.43696500932282945,7/36,p83,25.0°C (2024),Posición 7 de 36
T media,Caribe,26.1110097354373,0.15084368866354225,17/36,p56,27.7°C (2024),Posición 17 de 36
T media,Andina,19.502203955840216,0.00107436208281797,19/36,p50,20.7°C (2024),Posición 19 de 36
T media,Pacifica,22.027606098774818,0.6279538801566744,4/36,p92,22.4°C (1998),Posición 4 de 36
T media,Orinoquia,25.497704944432567,0.39791556861364086,11/36,p72,26.9°C (2024),Posición 11 de 36
T media,Amazonia,25.403365649067325,0.7348972703112473,3/36,p94,26.2°C (2024),3.er abril más cálido de 36
Tmax,Colombia,27.984055448020023,0.5416486887359966,6/36,p86,29.3°C (2024),Posición 6 de 36
Tmax,Caribe,29.9631804456882,-0.013293242646476244,20/36,p47,32.1°C (2024),Posición 20 de 36
Tmax,Andina,23.523233238073185,-0.08485541025405396,21/36,p44,25.0°C (2024),Posición 21 de 36
Tmax,Pacifica,25.54224769123854,0.8537086706769337,3/36,p94,25.7°C (1998),3.er abril más cálido de 36
Tmax,Orinoquia,29.385199937620566,0.4094642351329121,11/36,p72,31.2°C (2024),Posición 11 de 36
Tmax,Amazonia,29.673389706524354,1.0527524092255298,2/36,p97,30.6°C (2024),2.o abril más cálido de 36
Tmin,Colombia,21.30446499952369,0.3309184922060737,8/36,p81,22.1°C (2024),Posición 8 de 36
Tmin,Caribe,23.3970035982824,0.1927792601021565,14/36,p64,24.6°C (2024),Posición 14 de 36
Tmin,Andina,16.594326060742677,0.054547501898490225,14/36,p64,17.7°C (1998),Posición 14 de 36
Tmin,Pacifica,19.7351354719508,0.4056910102770743,6/36,p86,20.4°C (1998),Posición 6 de 36
Tmin,Orinoquia,22.804431951451477,0.4071708094950317,9/36,p78,23.6°C (2024),Posición 9 de 36
Tmin,Amazonia,22.763109194140437,0.45554776457407087,6/36,p86,23.5°C (2024),Posición 6 de 36
